Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240630_225021_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,10.88,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225035_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-06-30
BANFF-MOBILE_20240630_225047_000.wav,1,,Mylu,7,11,,Mylu,Labo,Epfu,Myvo,38.54,1.37,5.94,0.97,10.5,63.17,34.86,8.93,2.28,4.33,95.28,Processed,BNP,4.2,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225055_000.wav,,1,Epfu,7,7,,Epfu,,,,26.96,1.02,6.42,1.4,8.22,52.34,25.38,7.66,2.14,4.08,121.62,Processed,BNP,1.56,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225138_000.wav,1,,,1,1,Mylu,Mylu,,,,40.39,,4.89,,,64.48,39.93,13.6,4,4.81,,Processed,BNP,0.83,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225225_000.wav,1,,,1,2,Myev/Labo,Labo,Myev,,,36.92,2.62,4.14,2.42,17.21,57.25,33.08,11.39,5.91,7.8,58.1,Processed,BNP,1.02,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225325_000.wav,,1,,2,5,Laci/Lano/Epfu,Lano,Laci,Epfu,,24.61,0.22,10.46,2.81,3.87,31.95,24.24,1.72,0.33,0.52,258.62,Processed,BNP,7.95,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225342_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,1.84,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225543_000.wav,,1,,2,2,Epfu,Epfu,,,,28.21,0.14,6.4,0.29,9.92,46.62,27.67,5.62,1.66,2.75,100.85,Processed,BNP,15,,0.8,32,2024-06-30
BANFF-MOBILE_20240630_225558_000.wav,1,,Labo,8,10,,Labo,Epfu,Mylu,,39.76,0.6,6.32,0.73,15.52,62.39,38.98,7.31,1.81,3.14,64.42,Processed,BNP,4.74,,0.8,32,2024-06-30
