location,recordingDate,method,taskLength,transcriber,species,speciesIndividualComment,speciesIndividualNumber,vocalization,abundance,startTime,tagLength,minFreq,maxFreq,internal_tag_id
FENLANDS,2024-06-26 23:58:50,None,2,Not Assigned,LowF,Manual ID,1,Call,1,0.1,1.9968,15621,38220,
FENLANDS,2024-06-26 23:51:16,None,15,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,9.161,16120,43557,
FENLANDS,2024-06-26 23:50:56,None,9.7,Not Assigned,EPFULANO,Manual ID,1,Call,1,0.1,9.371,15226,42200,
FENLANDS,2024-06-26 23:50:56,None,9.7,Not Assigned,HighF,Manual ID,1,Call,1,0.1,9.371,15226,42200,
FENLANDS,2024-06-26 23:50:38,None,15,Not Assigned,EPTFUS,Manual ID,1,Call,1,0.1,10.205,15275,42839,
FENLANDS,2024-06-26 23:50:38,None,15,Not Assigned,HighF,Manual ID,1,Call,1,0.1,10.205,15275,42839,
FENLANDS,2024-06-26 23:49:49,None,8.01,Not Assigned,EPFULANO,Manual ID,1,Call,1,0.1,8.0128,15647,41836,
FENLANDS,2024-06-26 23:49:49,None,8.01,Not Assigned,HighF,Manual ID,1,Call,1,0.1,8.0128,15647,41836,
FENLANDS,2024-06-26 23:48:42,None,10.98,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,6.907,18578,44424,
FENLANDS,2024-06-26 23:48:23,None,15,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,6.451,15648,40383,
FENLANDS,2024-06-26 23:47:16,None,12.24,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,7.326,14585,40050,
FENLANDS,2024-06-26 23:46:57,None,15,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,6.473,16706,42564,
FENLANDS,2024-06-26 23:46:39,None,15,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,6.709,15259,41194,
FENLANDS,2024-06-26 23:46:20,None,15,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,7.461,15677,42270,
FENLANDS,2024-06-26 23:45:58,None,14.92,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,8.584,14883,41706,
FENLANDS,2024-06-26 23:45:29,None,15,Not Assigned,EPTFUS,AUTO ID,1,Call,1,0.1,8.536,15076,41453,
FENLANDS,2024-06-26 23:43:54,None,8.01,Not Assigned,LowF,Manual ID,1,Call,1,0.1,7.208,15236,40848,
FENLANDS,2024-06-26 23:43:54,None,8.01,Not Assigned,EPFULANO,Manual ID,1,Call,1,0.1,7.208,15236,40848,
FENLANDS,2024-06-26 23:42:40,None,14.52,Not Assigned,EPFULANO,Manual ID,1,Call,1,0.1,8.784,15467,43708,
FENLANDS,2024-06-26 23:42:29,None,10.04,Not Assigned,HighF,Manual ID,1,Call,1,0.1,7.181,17585,43944,
FENLANDS,2024-06-26 23:42:29,None,10.04,Not Assigned,LASCIN,Manual ID,1,Call,1,0.1,7.181,17585,43944,
