location,recordingDate,method,taskLength,transcriber,species,speciesIndividualComment,speciesIndividualNumber,vocalization,abundance,startTime,tagLength,minFreq,maxFreq,internal_tag_id
FENLANDS,2024-06-26 22:43:37,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.988,25706,58413,
GOLF-COURSE,2024-07-02 01:48:35,None,8.01,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,2.856,19893,65126,
GOLF-COURSE,2024-07-02 01:48:35,None,8.01,Not Assigned,MYOTIS,Manual ID,2,Call,1,0.1,2.856,19893,65126,
GOLF-COURSE,2024-07-02 00:56:07,None,9.8,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,2.424,27464,73194,
GOLF-COURSE,2024-07-02 00:56:07,None,9.8,Not Assigned,MYOTIS,Manual ID,2,Call,1,0.1,2.424,27464,73194,
UPPER-HOTSPRINGS,2024-07-07 01:02:11,None,7.83,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,2.981,20455,66227,
UPPER-HOTSPRINGS,2024-07-07 00:41:02,None,9.55,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,2.954,20211,68301,
GOLF-COURSE,2024-07-09 03:39:18,None,5.76,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,2.511,28297,94493,
GOLF-COURSE,2024-07-09 03:05:38,None,8.01,Not Assigned,MYOTIS,Manual ID,1,Call,1,0.1,3.115,21030,62319,
FENLANDS,2024-06-26 23:06:24,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.054,27925,70070,
FENLANDS,2024-06-26 23:00:42,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.149,31457,73649,
FENLANDS,2024-06-26 22:57:17,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.902,28724,58217,
FENLANDS,2024-06-26 22:53:52,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.885,29034,63033,
FENLANDS,2024-06-26 22:50:30,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.51,29426,60760,
FENLANDS,2024-06-26 22:42:26,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.745,29756,62454,
GOLF-COURSE,2024-06-27 01:30:14,None,6.58,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.372,28788,72376,
GOLF-COURSE,2024-06-28 22:45:26,None,14.05,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.784,28523,64417,
FENLANDS,2024-06-28 22:51:43,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.082,30067,64373,
FENLANDS,2024-06-28 22:43:27,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.808,28289,65219,
FENLANDS,2024-06-29 23:05:54,None,6.02,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.946,28054,67978,
FENLANDS,2024-06-29 22:43:04,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,2.267,30484,69082,
FENLANDS,2024-06-29 22:42:39,None,3.99,Not Assigned,MYLUMYVO,Manual ID,1,Call,1,0.1,3.37,28601,64411,
